date,matchday,home_team,away_team,home_score_full_time,away_score_full_time,home_score_half_time,away_score_half_time,goal_diff,winner,defeat,ref
2023-08-11T19:00:00Z,1,burnley,man city,0,3,0,2,3,man city,burnley,craig pawson
2023-08-12T12:00:00Z,1,arsenal,nottingham,2,1,2,0,1,arsenal,nottingham,michael oliver
2023-08-12T14:00:00Z,1,bournemouth,west ham,1,1,0,0,0,draw,draw,peter bankes
2023-08-12T14:00:00Z,1,brighton hove,luton town,4,1,1,0,3,brighton hove,luton town,david coote
2023-08-12T14:00:00Z,1,everton,fulham,0,1,0,0,1,fulham,everton,stuart attwell
2023-08-12T14:00:00Z,1,sheffield utd,crystal palace,0,1,0,0,1,crystal palace,sheffield utd,john brooks
2023-08-12T16:30:00Z,1,newcastle,aston villa,5,1,2,1,4,newcastle,aston villa,andy madley
2023-08-13T13:00:00Z,1,brentford,tottenham,2,2,2,2,0,draw,draw,robert jones
2023-08-13T15:30:00Z,1,chelsea,liverpool,1,1,1,1,0,draw,draw,anthony taylor
2023-08-14T19:00:00Z,1,man united,wolverhampton,1,0,0,0,1,man united,wolverhampton,simon hooper
2023-08-18T18:45:00Z,2,nottingham,sheffield utd,2,1,1,0,1,nottingham,sheffield utd,peter bankes
2023-08-19T14:00:00Z,2,fulham,brentford,0,3,0,1,3,brentford,fulham,darren bond
2023-08-19T14:00:00Z,2,liverpool,bournemouth,3,1,2,1,2,liverpool,bournemouth,thomas bramall
2023-08-19T14:00:00Z,2,wolverhampton,brighton hove,1,4,0,1,3,brighton hove,wolverhampton,andy madley
2023-08-19T16:30:00Z,2,tottenham,man united,2,0,0,0,2,tottenham,man united,michael oliver
2023-08-19T19:00:00Z,2,man city,newcastle,1,0,1,0,1,man city,newcastle,robert jones
2023-08-20T13:00:00Z,2,aston villa,everton,4,0,2,0,4,aston villa,everton,anthony taylor
2023-08-20T15:30:00Z,2,west ham,chelsea,3,1,1,1,2,west ham,chelsea,john brooks
2023-08-21T19:00:00Z,2,crystal palace,arsenal,0,1,0,0,1,arsenal,crystal palace,david coote
2023-08-25T19:00:00Z,3,chelsea,luton town,3,0,1,0,3,chelsea,luton town,robert jones
2023-08-26T11:30:00Z,3,bournemouth,tottenham,0,2,0,1,2,tottenham,bournemouth,tim robinson
2023-08-26T14:00:00Z,3,everton,wolverhampton,0,1,0,0,1,wolverhampton,everton,craig pawson
2023-08-26T14:00:00Z,3,man united,nottingham,3,2,1,2,1,man united,nottingham,stuart attwell
2023-08-26T14:00:00Z,3,arsenal,fulham,2,2,0,1,0,draw,draw,paul tierney
2023-08-26T14:00:00Z,3,brentford,crystal palace,1,1,1,0,0,draw,draw,peter bankes
2023-08-26T16:30:00Z,3,brighton hove,west ham,1,3,0,1,2,west ham,brighton hove,anthony taylor
2023-08-27T13:00:00Z,3,sheffield utd,man city,1,2,0,0,1,man city,sheffield utd,jarred gillett
2023-08-27T13:00:00Z,3,burnley,aston villa,1,3,0,2,2,aston villa,burnley,michael salisbury
2023-08-27T15:30:00Z,3,newcastle,liverpool,1,2,1,0,1,liverpool,newcastle,john brooks
2023-09-01T19:00:00Z,4,luton town,west ham,1,2,0,1,1,west ham,luton town,paul tierney
2023-09-02T11:30:00Z,4,sheffield utd,everton,2,2,2,1,0,draw,draw,andy madley
2023-09-02T14:00:00Z,4,brentford,bournemouth,2,2,1,1,0,draw,draw,bobby madley
2023-09-02T14:00:00Z,4,burnley,tottenham,2,5,1,2,3,tottenham,burnley,darren england
2023-09-02T14:00:00Z,4,chelsea,nottingham,0,1,0,0,1,nottingham,chelsea,tim robinson
2023-09-02T14:00:00Z,4,man city,fulham,5,1,2,1,4,man city,fulham,michael oliver
2023-09-02T16:30:00Z,4,brighton hove,newcastle,3,1,1,0,2,brighton hove,newcastle,stuart attwell
2023-09-03T13:00:00Z,4,crystal palace,wolverhampton,3,2,0,0,1,crystal palace,wolverhampton,robert jones
2023-09-03T13:00:00Z,4,liverpool,aston villa,3,0,2,0,3,liverpool,aston villa,simon hooper
2023-09-03T15:30:00Z,4,arsenal,man united,3,1,1,1,2,arsenal,man united,anthony taylor
2023-09-16T11:30:00Z,5,wolverhampton,liverpool,1,3,1,0,2,liverpool,wolverhampton,michael oliver
2023-09-16T14:00:00Z,5,aston villa,crystal palace,3,1,0,0,2,aston villa,crystal palace,darren england
2023-09-16T14:00:00Z,5,fulham,luton town,1,0,0,0,1,fulham,luton town,michael salisbury
2023-09-16T14:00:00Z,5,man united,brighton hove,1,3,0,1,2,brighton hove,man united,jarred gillett
2023-09-16T14:00:00Z,5,tottenham,sheffield utd,2,1,0,0,1,tottenham,sheffield utd,peter bankes
2023-09-16T14:00:00Z,5,west ham,man city,1,3,1,0,2,man city,west ham,andy madley
2023-09-16T16:30:00Z,5,newcastle,brentford,1,0,0,0,1,newcastle,brentford,craig pawson
2023-09-17T13:00:00Z,5,bournemouth,chelsea,0,0,0,0,0,draw,draw,david coote
2023-09-17T15:30:00Z,5,everton,arsenal,0,1,0,0,1,arsenal,everton,simon hooper
2023-09-18T18:45:00Z,5,nottingham,burnley,1,1,0,1,0,draw,draw,robert jones
2023-09-23T14:00:00Z,6,crystal palace,fulham,0,0,0,0,0,draw,draw,paul tierney
2023-09-23T14:00:00Z,6,luton town,wolverhampton,1,1,0,0,0,draw,draw,josh smith
2023-09-23T14:00:00Z,6,man city,nottingham,2,0,2,0,2,man city,nottingham,anthony taylor
2023-09-23T16:30:00Z,6,brentford,everton,1,3,1,1,2,everton,brentford,michael oliver
2023-09-23T19:00:00Z,6,burnley,man united,0,1,0,1,1,man united,burnley,tony harrington
2023-09-24T13:00:00Z,6,arsenal,tottenham,2,2,1,1,0,draw,draw,robert jones
2023-09-24T13:00:00Z,6,brighton hove,bournemouth,3,1,1,1,2,brighton hove,bournemouth,john brooks
2023-09-24T13:00:00Z,6,chelsea,aston villa,0,1,0,0,1,aston villa,chelsea,jarred gillett
2023-09-24T13:00:00Z,6,liverpool,west ham,3,1,1,1,2,liverpool,west ham,chris kavanagh
2023-09-24T15:30:00Z,6,sheffield utd,newcastle,0,8,0,3,8,newcastle,sheffield utd,stuart attwell
2023-09-30T11:30:00Z,7,aston villa,brighton hove,6,1,3,0,5,aston villa,brighton hove,andy madley
2023-09-30T14:00:00Z,7,bournemouth,arsenal,0,4,0,2,4,arsenal,bournemouth,michael salisbury
2023-09-30T14:00:00Z,7,everton,luton town,1,2,1,2,1,luton town,everton,anthony taylor
2023-09-30T14:00:00Z,7,man united,crystal palace,0,1,0,1,1,crystal palace,man united,chris kavanagh
2023-09-30T14:00:00Z,7,newcastle,burnley,2,0,1,0,2,newcastle,burnley,thomas bramall
2023-09-30T14:00:00Z,7,west ham,sheffield utd,2,0,2,0,2,west ham,sheffield utd,graham scott
2023-09-30T14:00:00Z,7,wolverhampton,man city,2,1,1,0,1,wolverhampton,man city,craig pawson
2023-09-30T16:30:00Z,7,tottenham,liverpool,2,1,1,1,1,tottenham,liverpool,simon hooper
2023-10-01T13:00:00Z,7,nottingham,brentford,1,1,0,0,0,draw,draw,paul tierney
2023-10-02T19:00:00Z,7,fulham,chelsea,0,2,0,2,2,chelsea,fulham,tim robinson
2023-10-03T18:30:00Z,2,luton town,burnley,1,2,0,1,1,burnley,luton town,peter bankes
2023-10-07T11:30:00Z,8,luton town,tottenham,0,1,0,0,1,tottenham,luton town,john brooks
2023-10-07T14:00:00Z,8,burnley,chelsea,1,4,1,1,3,chelsea,burnley,stuart attwell
2023-10-07T14:00:00Z,8,everton,bournemouth,3,0,2,0,3,everton,bournemouth,david coote
2023-10-07T14:00:00Z,8,fulham,sheffield utd,3,1,0,0,2,fulham,sheffield utd,sam barrott
2023-10-07T14:00:00Z,8,man united,brentford,2,1,0,1,1,man united,brentford,bobby madley
2023-10-07T16:30:00Z,8,crystal palace,nottingham,0,0,0,0,0,draw,draw,craig pawson
2023-10-08T13:00:00Z,8,brighton hove,liverpool,2,2,1,2,0,draw,draw,anthony taylor
2023-10-08T13:00:00Z,8,west ham,newcastle,2,2,1,0,0,draw,draw,peter bankes
2023-10-08T13:00:00Z,8,wolverhampton,aston villa,1,1,0,0,0,draw,draw,robert jones
2023-10-08T15:30:00Z,8,arsenal,man city,1,0,0,0,1,arsenal,man city,michael oliver
2023-10-21T11:30:00Z,9,liverpool,everton,2,0,0,0,2,liverpool,everton,craig pawson
2023-10-21T14:00:00Z,9,bournemouth,wolverhampton,1,2,1,0,1,wolverhampton,bournemouth,paul tierney
2023-10-21T14:00:00Z,9,brentford,burnley,3,0,1,0,3,brentford,burnley,josh smith
2023-10-21T14:00:00Z,9,man city,brighton hove,2,1,2,0,1,man city,brighton hove,robert jones
2023-10-21T14:00:00Z,9,newcastle,crystal palace,4,0,3,0,4,newcastle,crystal palace,tim robinson
2023-10-21T14:00:00Z,9,nottingham,luton town,2,2,0,0,0,draw,draw,sam barrott
2023-10-21T16:30:00Z,9,chelsea,arsenal,2,2,1,0,0,draw,draw,chris kavanagh
2023-10-21T19:00:00Z,9,sheffield utd,man united,1,2,1,1,1,man united,sheffield utd,michael oliver
2023-10-22T15:30:00Z,9,aston villa,west ham,4,1,1,0,3,aston villa,west ham,david coote
2023-10-23T19:00:00Z,9,tottenham,fulham,2,0,1,0,2,tottenham,fulham,anthony taylor
2023-10-27T19:00:00Z,10,crystal palace,tottenham,1,2,0,0,1,tottenham,crystal palace,andy madley
